"行識別子","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","処理区域内人口（人） [servicePopulation]","水洗化人口（人） [connectedPopulation]","年間汚水処理水量（m³/年） [treatedVolume]","年間有収水量（m³/年） [annualBillableVolume]","一般家庭用20m³月額（円/月・税込） [householdFee20m3Yen]","使用料収入（千円/年） [sewerFeeRevenue]","汚水処理費（千円/年） [wastewaterTreatmentCost]","維持管理費分（千円/年） [opexComponent]","資本費分（千円/年） [capitalCostComponent]","営業費用（千円） [operating_expense]","管渠費（千円） [pipeline_expense]","ポンプ場費（千円） [pump_station_expense]","処理場費（千円） [treatment_plant_expense]","業務費（千円） [business_expense]","総係費（千円） [general_administration_expense]","職員給与費計（千円） [personnel_cost_total]","支払利息計（千円） [interest_cost_total]","減価償却費（千円） [depreciation_cost]","動力費（千円） [power_cost]","水道光熱費（千円） [water_and_utilities_cost]","通信運搬費（千円） [communications_transport_cost]","修繕費（千円） [repair_cost]","材料費（千円） [materials_cost]","薬品費（千円） [chemical_cost]","路面復旧費（千円） [road_restoration_cost]","委託料（千円） [outsourcing_cost]","流域下水道管理運営費負担金（千円） [regional_sewerage_contribution]","その他（千円） [other_cost]","費用合計（千円） [total_cost]"
"182087:17-1-000:legal_applied:2020","182087","あわら市","17-1-000","legal_applied","2020","26497","25019","4437764","3436182","2695","484920","470619","245685","224934","954893","10773","27049","0","0","50776","22283","148016","653903","10417","554","86","3309","148","0","0","13128","209785","41542","1103171"
"182095:17-1-000:legal_applied:2020","182095","越前市","17-1-000","legal_applied","2020","57868","51065","6358929","4702757","2673","659565","721634","323388","398246","1792809","46284","0","236896","0","96384","31317","315867","1413132","0","0","159","13836","1002","0","0","247398","0","124735","2147446"
"182109:17-1-000:legal_applied:2020","182109","坂井市","17-1-000","legal_applied","2020","86123","80269","10449154","8982087","2530","1167719","1347313","699999","647314","2536299","80913","35460","0","0","94970","28111","309148","1817709","28817","170","5410","25999","0","0","0","50269","499622","80455","2845710"
"183229:17-1-000:non_legal_applied:2020","183229","永平寺町","17-1-000","non_legal_applied","2020","7229","7039","840841","758643","2530","107483","138505","113560","24945","","","","","","","","","","","","","","","","","","","",""
"184233:17-1-000:non_legal_applied:2020","184233","越前町","17-1-000","non_legal_applied","2020","10196","9802","1682128","1057904","2860","162756","163525","103244","60281","","","","","","","","","","","","","","","","","","","",""
"184420:17-1-000:non_legal_applied:2020","184420","美浜町","17-1-000","non_legal_applied","2020","5616","4560","1108122","1108122","4312","114260","330865","139896","190969","","","","","","","","","","","","","","","","","","","",""
"184811:17-1-000:non_legal_applied:2020","184811","高浜町","17-1-000","non_legal_applied","2020","8092","7763","1086408","995890","1890","122926","218562","218562","0","","","","","","","","","","","","","","","","","","","",""
"188433:17-1-000:legal_applied:2020","188433","五領川公共下水道事務組合","17-1-000","legal_applied","2020","5481","5357","2012559","840352","2530","121839","241076","127452","113624","389406","12195","0","134781","5177","12615","26558","27113","222099","0","0","196","49","132","0","960","132929","0","6752","416788"
"192015:17-1-000:legal_applied:2020","192015","甲府市","17-1-000","legal_applied","2020","154580","153765","33148062","19344222","2431","2792860","2901633","1034435","1867198","4506810","169057","11114","712820","0","337954","216260","507006","3252524","168207","1402","1908","50702","15272","7190","180","494494","0","313829","5028974"
"192023:17-1-000:legal_applied:2020","192023","富士吉田市","17-1-000","legal_applied","2020","20335","15131","2230598","2351284","1815","225213","351679","225188","126491","707821","15460","0","0","12649","18768","19298","80665","482870","559","0","59","0","0","0","0","21424","176754","9969","791598"
"192040:17-1-000:legal_applied:2020","192040","都留市","17-1-000","legal_applied","2020","8506","5341","738218","775766","2420","107056","171019","171019","0","493545","31709","1161","0","0","0","17158","88171","327163","893","0","268","475","0","0","0","14076","122134","16015","586353"
"192058:17-1-000:legal_applied:2020","192058","山梨市","17-1-000","legal_applied","2020","17575","14252","3168399","2111423","2541","294583","314336","278856","35480","666057","43879","0","0","6736","31612","53422","99835","382728","559","0","122","2560","820","0","0","12073","196552","17299","765970"
"192066:17-1-000:non_legal_applied:2020","192066","大月市","17-1-000","non_legal_applied","2020","4049","2555","279872","279872","2640","42717","241339","62805","178534","","","","","","","","","","","","","","","","","","","",""
"192074:17-1-000:legal_applied:2020","192074","韮崎市","17-1-000","legal_applied","2020","19093","17832","2063950","1867125","2123","213724","280072","190153","89919","636419","29078","0","0","0","27009","11935","137077","446278","4330","0","959","8264","0","0","0","24653","124869","15143","773508"
"192082:17-1-000:legal_applied:2020","192082","南アルプス市","17-1-000","legal_applied","2020","36242","32820","4124264","3769990","1700","323752","570221","451001","119220","1146456","27690","0","0","0","111107","50212","221438","770215","888","0","368","7927","80","0","0","30253","237444","123828","1442653"
"192104:17-1-000:legal_applied:2020","192104","甲斐市","17-1-000","legal_applied","2020","58675","51036","6023193","5490410","1705","507301","808916","497035","311881","1312573","37167","0","0","50216","50216","38401","223852","805465","1884","0","1006","7999","19","0","600","65763","369509","32651","1547149"
"192112:17-1-000:legal_applied:2020","192112","笛吹市","17-1-000","legal_applied","2020","42170","38723","5165337","4641323","2376","603019","705426","517133","188293","1533645","73560","0","0","0","53522","32420","260283","1032971","8988","0","3071","7067","0","0","0","41527","373496","50564","1810387"
"192121:17-1-000:non_legal_applied:2020","192121","上野原市","17-1-000","non_legal_applied","2020","10972","9187","1146450","1117348","2860","221536","273217","273217","0","","","","","","","","","","","","","","","","","","","",""
"192139:17-1-000:legal_applied:2020","192139","甲州市","17-1-000","legal_applied","2020","16536","13730","1791222","1407071","2328","175683","220590","165295","55295","678046","40124","46","0","0","61949","35279","97790","466247","46","1267","442","3025","303","0","0","53208","109680","12236","779523"
"192147:17-1-000:legal_applied:2020","192147","中央市","17-1-000","legal_applied","2020","20007","17324","2352103","2138439","2200","256076","309174","186460","122714","613613","9612","0","0","0","37199","10628","122203","428734","2136","0","319","1062","0","0","0","27439","138068","6808","737397"
"193461:17-1-000:non_legal_applied:2020","193461","市川三郷町","17-1-000","non_legal_applied","2020","11008","9249","1198355","1141649","1870","123423","354824","142012","212812","","","","","","","","","","","","","","","","","","","",""
"193658:17-1-000:non_legal_applied:2020","193658","身延町","17-1-000","non_legal_applied","2020","2462","1351","202685","202685","2310","31112","37647","35216","2431","","","","","","","","","","","","","","","","","","","",""
"193682:17-1-000:non_legal_applied:2020","193682","富士川町","17-1-000","non_legal_applied","2020","11602","10441","1431001","1325239","2170","164982","187556","137450","50106","","","","","","","","","","","","","","","","","","","",""
"193844:17-1-000:non_legal_applied:2020","193844","昭和町","17-1-000","non_legal_applied","2020","18602","17336","2304750","2099160","2420","309172","314873","229528","85345","","","","","","","","","","","","","","","","","","","",""
"194239:17-1-000:non_legal_applied:2020","194239","西桂町","17-1-000","non_legal_applied","2020","2481","1801","190646","190646","2090","21629","48275","37273","11002","","","","","","","","","","","","","","","","","","","",""
"194247:17-1-000:non_legal_applied:2020","194247","忍野村","17-1-000","non_legal_applied","2020","5266","4183","922477","922477","1375","66958","138372","100016","38356","","","","","","","","","","","","","","","","","","","",""
"194255:17-1-000:non_legal_applied:2020","194255","山中湖村","17-1-000","non_legal_applied","2020","3643","3408","1437407","1235638","1430","95183","185346","154816","30530","","","","","","","","","","","","","","","","","","","",""
"194301:17-1-000:non_legal_applied:2020","194301","富士河口湖町","17-1-000","non_legal_applied","2020","20401","18805","3046259","3046259","1760","286450","458769","284528","174241","","","","","","","","","","","","","","","","","","","",""
"200000:17-1-000:non_legal_applied:2020","200000","長野県","17-1-000","non_legal_applied","2020","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","",""
"202011:17-1-000:legal_applied:2020","202011","長野市","17-1-000","legal_applied","2020","337029","328335","40752731","35072586","3534","6625146","5697414","2913404","2784010","8400784","355925","19163","946212","216204","155207","299601","1330198","5425058","135908","991","2828","246861","10224","22464","0","721610","1201082","356449","9753274"
"202029:17-1-000:legal_applied:2020","202029","松本市","17-1-000","legal_applied","2020","193008","191607","31177162","24113162","3140","4082451","3202221","1499596","1702625","4289170","185229","9469","1036671","163625","83229","203433","306188","2705785","128237","0","4251","385313","27859","59860","0","536886","0","221152","4578964"
"202037:17-1-000:legal_applied:2020","202037","上田市","17-1-000","legal_applied","2020","93414","89273","11725267","9995312","3827","1882956","1199677","784318","415359","2948137","102458","19547","521767","74899","36994","56687","514045","2158820","116759","653","2868","107897","1855","42158","0","378196","0","86241","3466179"
"202045:17-1-000:legal_applied:2020","202045","岡谷市","17-1-000","legal_applied","2020","48385","47338","7998650","5508569","3278","942158","942158","482662","459496","1296754","87275","0","0","33371","38667","64755","114037","783354","5385","708","2407","32029","12426","0","0","32820","335516","44192","1427629"
"202053:17-1-000:legal_applied:2020","202053","飯田市","17-1-000","legal_applied","2020","76892","71240","10683145","7361271","3797","1557488","1147383","688609","458774","2244750","162698","0","454473","39030","97630","134656","297391","1465215","40943","475","3996","85332","2284","389","0","368165","0","145339","2544185"
"202061:17-1-000:legal_applied:2020","202061","諏訪市","17-1-000","legal_applied","2020","48417","48132","9896572","6985257","3119","1170673","1298207","547837","750370","1617714","87350","0","0","45868","34447","60515","156781","1022074","3142","719","1847","54103","426","0","5858","35604","417742","16083","1774894"
"202070:17-1-000:legal_applied:2020","202070","須坂市","17-1-000","legal_applied","2020","41538","38336","3951894","3951894","3640","726348","738189","380303","357886","1113454","49916","0","0","0","43655","21576","213239","733538","0","2710","854","15226","0","0","0","37846","286137","15954","1327080"
"202088:17-1-000:legal_applied:2020","202088","小諸市","17-1-000","legal_applied","2020","21727","20204","2174606","1856018","3750","356966","302350","161690","140660","707852","24685","0","114065","13503","8808","25203","118671","521446","22322","447","449","14358","0","0","0","86885","0","39016","828797"
"202096:17-1-000:legal_applied:2020","202096","伊那市","17-1-000","legal_applied","2020","29463","27599","2872653","2925017","4070","669531","557739","299822","257917","1042977","15841","12028","204858","35335","47041","62309","172788","726135","27466","1275","1533","14194","0","945","1896","190316","0","17122","1215979"
"202100:17-1-000:legal_applied:2020","202100","駒ケ根市","17-1-000","legal_applied","2020","19154","16460","2517189","2081643","3300","377739","335953","225473","110480","707681","22640","0","138031","0","64802","40983","85469","482183","23834","3831","1563","22881","0","0","0","122128","0","21597","804469"
"202118:17-1-000:legal_applied:2020","202118","中野市","17-1-000","legal_applied","2020","25135","23280","2742631","2356913","3575","468523","486360","261554","224806","849130","21725","0","198937","12723","28114","30907","96151","587011","26441","901","424","51753","0","8310","0","117839","0","61870","981607"
"202126:17-1-000:legal_applied:2020","202126","大町市","17-1-000","legal_applied","2020","13562","10379","1352271","1289998","3790","262097","209205","209205","0","564063","7131","0","146400","0","49443","51173","103183","357316","103","14023","926","35965","1213","0","1109","67659","0","37034","669704"
"202134:17-1-000:non_legal_applied:2020","202134","飯山市","17-1-000","non_legal_applied","2020","12867","12116","1361809","1173419","3616","242345","252677","168316","84361","","","","","","","","","","","","","","","","","","","",""
"202142:17-1-000:legal_applied:2020","202142","茅野市","17-1-000","legal_applied","2020","49088","48687","9186922","6326917","3118","1112869","819942","494561","325381","1526896","154765","5695","0","12745","28842","32521","119495","926804","5695","43","2219","18158","7394","213","3261","28424","386828","144423","1675478"
"202151:17-1-000:legal_applied:2020","202151","塩尻市","17-1-000","legal_applied","2020","51354","50576","7238098","5726814","3980","1270792","1274253","592212","682041","1801625","88358","0","395072","67150","46970","65624","226976","1197139","46464","238","1631","103652","0","42792","5754","248659","0","89860","2028789"
"202177:17-1-000:legal_applied:2020","202177","佐久市","17-1-000","legal_applied","2020","63310","62040","7173897","6470834","4510","1591776","1531510","694698","836812","1916425","32170","48154","409430","101585","96195","136055","268141","1202223","60291","1390","18837","32575","83","0","1527","406005","0","57615","2184742"
"202185:17-1-000:legal_applied:2020","202185","千曲市","17-1-000","legal_applied","2020","55405","51514","5892885","5892885","3245","963768","592361","533860","58501","1833840","55175","0","0","34665","36065","35319","450034","1301509","2770","0","7759","10036","0","0","0","48891","406345","23130","2285793"
"202193:17-1-000:legal_applied:2020","202193","東御市","17-1-000","legal_applied","2020","19565","18518","2637876","1948775","3355","324525","325381","199627","125754","727042","19093","0","106179","0","80310","52308","114962","521460","25832","420","2359","5733","0","0","0","112379","0","6569","842022"
"202207:17-1-000:legal_applied:2020","202207","安曇野市","17-1-000","legal_applied","2020","78525","69613","7486610","7486610","3960","1456523","1465332","979214","486118","2577586","173979","0","35110","0","100732","82627","463912","1596016","4114","185","2323","29839","8","815","0","98297","666284","94722","3039142"
"203211:17-1-000:non_legal_applied:2020","203211","軽井沢町","17-1-000","non_legal_applied","2020","9956","9342","1772879","1585384","2860","325399","325399","204247","121152","","","","","","","","","","","","","","","","","","","",""
"203238:17-1-000:non_legal_applied:2020","203238","御代田町","17-1-000","non_legal_applied","2020","13513","12198","1263477","1255091","4620","310888","460399","128227","332172","","","","","","","","","","","","","","","","","","","",""
"203611:17-1-000:legal_applied:2020","203611","下諏訪町","17-1-000","legal_applied","2020","19467","19120","3854514","2654555","2992","403027","388618","205913","182705","524530","42843","0","0","0","25365","23957","28994","293480","1707","0","540","548","0","0","3936","30471","162724","13621","559978"
"203629:17-1-000:legal_applied:2020","203629","富士見町","17-1-000","legal_applied","2020","11277","10515","2708151","2281291","4070","500475","471403","241221","230182","680066","32865","0","85862","0","28887","22433","99778","429231","8548","112","1281","10310","0","0","0","93974","89436","24805","779908"
"203823:17-1-000:legal_applied:2020","203823","辰野町","17-1-000","legal_applied","2020","13038","12317","1677079","1479071","3941","283930","210103","135048","75055","479221","15610","9861","87340","0","22212","20517","68475","344096","22203","363","1033","14028","5371","0","0","67051","0","4584","547721"
"203831:17-1-000:legal_applied:2020","203831","箕輪町","17-1-000","legal_applied","2020","13383","11991","1732906","1249398","3938","252172","253654","105911","147743","438812","7467","0","73259","0","19207","9500","89937","338879","11335","33","708","11505","0","0","0","62326","0","10504","534727"
"203840:17-1-000:legal_applied:2020","203840","飯島町","17-1-000","legal_applied","2020","5327","4233","446886","446886","4752","88633","88633","66588","22045","246573","1917","0","43595","0","21076","9175","57940","179985","4501","212","215","4485","0","2257","0","39441","0","6302","304513"
"203858:17-1-000:legal_applied:2020","203858","南箕輪村","17-1-000","legal_applied","2020","15483","14439","1505786","1486836","3531","265824","281360","101356","180004","470736","5268","0","69405","0","26672","18027","96377","369391","14926","169","957","3358","0","0","0","54787","0","9129","567121"
"203866:17-1-000:legal_applied:2020","203866","中川村","17-1-000","legal_applied","2020","2724","2533","247349","244876","5280","56268","63409","42507","20902","151757","9405","0","26174","0","5824","4839","19850","109250","2919","199","602","2503","0","734","0","24308","0","6403","171607"
"203882:17-1-000:legal_applied:2020","203882","宮田村","17-1-000","legal_applied","2020","6747","6546","691103","597606","4070","115253","110062","73333","36729","196840","7244","0","49434","0","16655","11207","17403","123507","6950","260","557","6246","202","0","0","43814","0","4097","214243"
"204021:17-1-000:legal_applied:2020","204021","松川町","17-1-000","legal_applied","2020","5193","4604","539986","517980","2882","82989","83882","72819","11063","218836","5834","0","36127","0","29818","13090","31186","146824","6857","528","74","7270","18","0","0","40773","0","4209","250829"
"204030:17-1-000:legal_applied:2020","204030","高森町","17-1-000","legal_applied","2020","8628","7856","817586","771475","3813","147117","138159","67260","70899","321517","7588","0","48674","0","10458","3344","67503","254797","0","0","339","1176","16","0","0","57825","0","4560","389560"
"204226:17-1-000:legal_applied:2020","204226","上松町","17-1-000","legal_applied","2020","2961","2392","258598","256034","3580","44209","62082","40276","21806","168165","2300","5849","19144","0","12983","3563","18137","127889","7852","42","508","2455","0","132","0","19281","0","6443","186302"
"204323:17-1-000:non_legal_applied:2020","204323","木曽町","17-1-000","non_legal_applied","2020","4833","4358","727260","571826","3960","134737","219224","84486","134738","","","","","","","","","","","","","","","","","","","",""
"204811:17-1-000:legal_applied:2020","204811","池田町","17-1-000","legal_applied","2020","9102","8474","988574","819355","4450","176521","79925","79925","0","395151","1175","1778","53544","0","23333","6646","54209","315226","10352","173","591","1101","60","0","136","59663","0","1203","449360"
"204854:17-1-000:legal_applied:2020","204854","白馬村","17-1-000","legal_applied","2020","6569","5405","989522","713256","3740","160960","181557","91685","89872","429441","8970","0","52365","0","29915","17454","61666","337857","5925","73","1593","1462","18","0","0","50606","0","14554","491208"
"205214:17-1-000:non_legal_applied:2020","205214","坂城町","17-1-000","non_legal_applied","2020","13070","10025","984059","984059","3080","173319","171138","93175","77963","","","","","","","","","","","","","","","","","","","",""
"205419:17-1-000:non_legal_applied:2020","205419","小布施町","17-1-000","non_legal_applied","2020","8817","8601","847915","847610","2864","142746","563079","563079","0","","","","","","","","","","","","","","","","","","","",""
"205613:17-1-000:legal_applied:2020","205613","山ノ内町","17-1-000","legal_applied","2020","5159","4944","793642","604934","3335","118871","140661","112958","27703","392590","3674","0","80342","0","24047","18412","16945","284522","9464","155","1282","15318","585","4362","1586","52176","0","9618","414425"
"205630:17-1-000:non_legal_applied:2020","205630","野沢温泉村","17-1-000","non_legal_applied","2020","2711","2709","1444073","801272","3980","128437","131423","98655","32768","","","","","","","","","","","","","","","","","","","",""
"205834:17-1-000:legal_applied:2020","205834","信濃町","17-1-000","legal_applied","2020","3567","2527","298793","298793","3560","56351","67656","67656","0","245492","8870","0","42425","0","16093","8801","41245","178104","6625","97","1194","5588","30","0","0","38245","0","7076","287005"
"209066:17-1-000:legal_applied:2020","209066","南佐久環境衛生組合","17-1-000","legal_applied","2020","13525","11694","1053124","1048331","4422","229166","273348","230388","42960","747612","33287","11321","77535","20712","45248","31662","103566","533228","17704","0","0","9746","0","4674","0","103411","0","63191","867182"
"209279:17-1-000:legal_applied:2020","209279","木曽広域連合","17-1-000","legal_applied","2020","12919","0","0","0","0","0","128946","62113","66833","124819","0","0","62113","0","0","7923","4127","62706","3319","0","47","9460","102","5402","0","33090","0","2770","128946"
"212016:17-1-000:legal_applied:2020","212016","岐阜市","17-1-000","legal_applied","2020","381770","329740","58628888","43985178","2739","5904287","5345543","2783677","2561866","6723803","288588","12585","1508847","238467","250499","661135","910574","3668746","271909","4508","13194","231326","83264","116547","0","807371","647802","230733","7647109"
"212024:17-1-000:legal_applied:2020","212024","大垣市","17-1-000","legal_applied","2020","140983","125103","24186000","15752222","2560","1986378","2459637","761561","1698076","3360210","111591","13301","485419","90296","58660","179906","497073","2581285","103732","3840","1250","103831","2936","27942","2734","326951","0","84299","3915779"
"212032:17-1-000:legal_applied:2020","212032","高山市","17-1-000","legal_applied","2020","60160","57275","10458779","7295561","2860","1140073","1096592","398843","697749","1529876","62428","976","290771","0","60319","69545","192833","1098740","85313","7055","1339","7548","204","16000","0","208636","0","37621","1724834"
"212041:17-1-000:legal_applied:2020","212041","多治見市","17-1-000","legal_applied","2020","104055","97488","21137296","10545509","2750","1579301","1448015","549271","898744","2882830","84501","58618","500439","0","113079","151865","246413","2024802","130840","1146","6296","68165","270","44665","0","242307","0","222457","3139226"
"212059:17-1-000:legal_applied:2020","212059","関市","17-1-000","legal_applied","2020","55648","55185","10937478","6821697","2365","797116","1515558","500797","1014761","1621154","69428","6682","372660","34366","20495","124950","58350","1114832","110188","271","1229","121838","850","21439","0","93119","0","38677","1685743"
"212067:17-1-000:legal_applied:2020","212067","中津川市","17-1-000","legal_applied","2020","24795","20951","3821738","2621238","3740","503133","478938","298026","180912","1103828","48723","0","203884","24901","23999","67913","113882","765442","25225","920","909","13294","0","18513","1033","136201","0","80066","1223398"
"212075:17-1-000:non_legal_applied:2020","212075","美濃市","17-1-000","non_legal_applied","2020","15058","10249","1792589","1350288","3110","244055","244055","190670","53385","","","","","","","","","","","","","","","","","","","",""
"212083:17-1-000:legal_applied:2020","212083","瑞浪市","17-1-000","legal_applied","2020","26517","24695","3817805","2595792","3520","481416","491368","221314","270054","791421","43274","13633","147629","0","16304","79881","86580","556205","25431","990","2618","28378","0","4777","0","75754","0","20497","881111"
"212091:17-1-000:legal_applied:2020","212091","羽島市","17-1-000","legal_applied","2020","32136","21465","2584844","2324554","2360","258883","348922","312006","36916","1094260","5433","0","220952","0","68919","54940","201536","798956","30985","1659","1391","18541","708","14117","0","145361","0","51241","1319435"
"212105:17-1-000:legal_applied:2020","212105","恵那市","17-1-000","legal_applied","2020","16812","16623","3341326","1869180","3795","372798","483312","255865","227447","698883","14281","945","220277","0","50273","26628","41082","412811","23393","991","1138","38286","75","17874","0","73934","0","129866","766078"
"212113:17-1-000:legal_applied:2020","212113","美濃加茂市","17-1-000","legal_applied","2020","45776","39897","5264527","4223713","3190","654299","746872","516858","230014","1481242","67227","31361","163478","12954","42898","44834","246731","929981","10092","8047","2696","22030","1251","220","0","199649","232708","44190","1742429"
"212121:17-1-000:legal_applied:2020","212121","土岐市","17-1-000","legal_applied","2020","48075","40457","5816783","4071751","3300","690556","561166","404236","156930","1547801","95227","22201","280105","0","43277","63334","142944","1106762","34674","1221","2097","23034","557","11278","0","295476","0","16533","1697910"
"212130:17-1-000:legal_applied:2020","212130","各務原市","17-1-000","legal_applied","2020","121109","108895","13412124","10543539","2557","1343679","1510508","976898","533610","2389507","62707","0","0","89417","77271","116680","279482","1391039","0","2329","1178","7197","0","0","608","64894","750518","55212","2669137"
"212148:17-1-000:legal_applied:2020","212148","可児市","17-1-000","legal_applied","2020","91009","84691","9755105","8479517","3267","1307515","1112961","814741","298220","1986676","86702","0","0","64621","79309","58687","264692","1167952","0","5604","2092","5439","214","0","0","149121","547318","90278","2291397"
"212156:17-1-000:non_legal_applied:2020","212156","山県市","17-1-000","non_legal_applied","2020","13014","4963","1104741","1104741","3850","135149","165711","142800","22911","","","","","","","","","","","","","","","","","","","",""
"212164:17-1-000:legal_applied:2020","212164","瑞穂市","17-1-000","legal_applied","2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212172:17-1-000:non_legal_applied:2020","212172","飛騨市","17-1-000","non_legal_applied","2020","16925","14234","1459335","1466727","3410","291046","248508","208888","39620","","","","","","","","","","","","","","","","","","","",""
"212199:17-1-000:legal_applied:2020","212199","郡上市","17-1-000","legal_applied","2020","7564","5185","773984","717852","3575","129557","133200","95890","37310","375967","15487","0","47270","0","16065","11926","69089","297145","18784","618","1380","6578","112","2835","0","30991","0","22666","462124"
"212202:17-1-000:legal_applied:2020","212202","下呂市","17-1-000","legal_applied","2020","6215","4788","1278961","933128","3459","148058","208425","162669","45756","467781","2367","0","140916","0","19200","10538","63739","305298","23831","0","1331","331","0","0","0","122475","0","4163","531706"
"212211:17-1-000:legal_applied:2020","212211","海津市","17-1-000","legal_applied","2020","21451","14187","1925136","1667256","3520","279160","281627","273859","7768","1059387","32608","14297","173105","0","39703","37101","151977","783566","34535","610","3302","28064","392","7031","0","145170","0","21221","1212969"
"213021:17-1-000:legal_applied:2020","213021","岐南町","17-1-000","legal_applied","2020","24794","23832","2510408","2510408","1919","236461","451937","208415","243522","510393","31153","0","0","0","46195","17282","60483","302967","1319","0","263","2776","0","0","765","41886","129862","22099","579702"
"213039:17-1-000:legal_applied:2020","213039","笠松町","17-1-000","legal_applied","2020","19764","16863","2741026","2055485","2988","303249","229059","197139","31920","532713","9445","0","0","5718","20915","15337","76654","341405","0","225","316","2306","0","0","0","12030","153572","13353","615198"
"213411:17-1-000:legal_applied:2020","213411","養老町","17-1-000","legal_applied","2020","6552","4521","812261","652468","3680","105588","123680","123680","0","286012","2474","0","89447","0","29306","22291","40018","164632","8254","53","351","11697","0","2407","0","72654","0","5973","328330"
"213616:17-1-000:non_legal_applied:2020","213616","垂井町","17-1-000","non_legal_applied","2020","17180","11656","1685199","1102364","3850","219043","219043","196698","22345","","","","","","","","","","","","","","","","","","","",""
"213624:17-1-000:non_legal_applied:2020","213624","関ケ原町","17-1-000","non_legal_applied","2020","5474","4565","551288","486380","3520","90439","94357","94357","0","","","","","","","","","","","","","","","","","","","",""
"213811:17-1-000:non_legal_applied:2020","213811","神戸町","17-1-000","non_legal_applied","2020","15386","8288","849522","841274","3300","142785","142785","79735","63050","","","","","","","","","","","","","","","","","","","",""
"213837:17-1-000:non_legal_applied:2020","213837","安八町","17-1-000","non_legal_applied","2020","14737","12936","1691563","1479667","3300","260520","260521","135174","125347","","","","","","","","","","","","","","","","","","","",""
"214043:17-1-000:non_legal_applied:2020","214043","池田町","17-1-000","non_legal_applied","2020","15416","8159","1218072","1176911","5016","173244","174847","145665","29182","","","","","","","","","","","","","","","","","","","",""
"214213:17-1-000:non_legal_applied:2020","214213","北方町","17-1-000","non_legal_applied","2020","18484","15767","1839394","1774104","2915","247058","294666","244380","50286","","","","","","","","","","","","","","","","","","","",""
"215015:17-1-000:legal_applied:2020","215015","坂祝町","17-1-000","legal_applied","2020","5705","5449","779542","518513","3190","79930","82034","68256","13778","139485","3129","0","0","1764","19808","17034","14823","71229","433","57","125","1830","0","0","0","3473","43555","1749","154308"
"215031:17-1-000:legal_applied:2020","215031","川辺町","17-1-000","legal_applied","2020","9720","8026","1026968","839060","3190","127942","190451","121293","69158","354782","28905","0","0","1388","25232","17737","69158","240454","5086","0","486","7376","0","0","0","19941","56908","13759","430905"
"215058:17-1-000:legal_applied:2020","215058","八百津町","17-1-000","legal_applied","2020","8162","7177","923193","766315","3190","122133","122133","100507","21626","302846","26447","0","0","701","11870","4028","38839","210366","3103","148","687","423","0","0","0","30000","51699","10419","349712"
"215210:17-1-000:legal_applied:2020","215210","御嵩町","17-1-000","legal_applied","2020","14048","10875","1363819","1165346","3300","188096","181589","139162","42427","489775","18526","0","0","0","23997","12342","88775","348371","551","0","377","2532","46","0","0","25849","92264","5201","576308"
"221007:17-1-000:legal_applied:2020","221007","静岡市","17-1-000","legal_applied","2020","586881","531774","122560702","64212798","2770","9582164","9582922","4394575","5188347","17531384","793627","621353","3777720","387506","585328","990853","2164909","11305698","758440","57774","11272","901122","20969","139270","0","2734879","0","757788","19842974"
"221309:17-1-000:legal_applied:2020","221309","浜松市","17-1-000","legal_applied","2020","577753","564931","79307948","66613339","2948","8768026","8053269","1850635","6202634","14237411","547858","252598","1336590","274212","133310","351581","2042957","10987192","274058","16064","15782","522003","1449","11603","0","1059230","0","1023091","16305010"
"222038:17-1-000:legal_applied:2020","222038","沼津市","17-1-000","legal_applied","2020","109021","97120","22499006","12744461","2600","1671827","2436232","1355429","1080803","3743385","89437","62641","539639","92464","76240","173247","517818","2151318","121132","874","492","51494","7572","26806","0","400827","725820","83936","4261336"
"222054:17-1-000:legal_applied:2020","222054","熱海市","17-1-000","legal_applied","2020","24396","21453","5959781","6117422","3087","1030720","1030720","455505","575215","1357382","16225","25556","315684","0","86047","53138","135725","850857","0","0","975","18302","0","0","0","346471","0","87778","1493246"
"222062:17-1-000:legal_applied:2020","222062","三島市","17-1-000","legal_applied","2020","81531","76144","12081335","9042146","1890","923369","1365972","787723","578249","1874967","92991","28827","276543","0","75949","78283","245918","1069147","49018","1050","1576","20807","281","12788","10286","287614","311521","33771","2122060"
"222071:17-1-000:legal_applied:2020","222071","富士宮市","17-1-000","legal_applied","2020","70756","62590","9776746","7058293","1947","741459","1058744","484652","574092","1687514","50058","2558","344348","0","102394","77113","152678","1164676","44413","0","712","59546","680","7888","0","266346","0","69590","1843642"
"222089:17-1-000:legal_applied:2020","222089","伊東市","17-1-000","legal_applied","2020","22500","18792","5163594","4518223","1925","312901","611882","221909","389973","1216570","5863","110468","310614","22274","36365","39979","164289","730986","52175","15999","704","12126","4118","4032","0","298751","0","82815","1405974"
"222097:17-1-000:legal_applied:2020","222097","島田市","17-1-000","legal_applied","2020","11541","9060","1093559","1104855","2587","140031","445160","253748","191412","582124","24586","0","156960","4469","50588","72154","69581","328891","264","0","236","12743","0","0","0","151378","0","16973","652220"
