"行識別子","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","処理区域内人口（人） [servicePopulation]","水洗化人口（人） [connectedPopulation]","年間汚水処理水量（m³/年） [treatedVolume]","年間有収水量（m³/年） [annualBillableVolume]","一般家庭用20m³月額（円/月・税込） [householdFee20m3Yen]","使用料収入（千円/年） [sewerFeeRevenue]","汚水処理費（千円/年） [wastewaterTreatmentCost]","維持管理費分（千円/年） [opexComponent]","資本費分（千円/年） [capitalCostComponent]","営業費用（千円） [operating_expense]","管渠費（千円） [pipeline_expense]","ポンプ場費（千円） [pump_station_expense]","処理場費（千円） [treatment_plant_expense]","業務費（千円） [business_expense]","総係費（千円） [general_administration_expense]","職員給与費計（千円） [personnel_cost_total]","支払利息計（千円） [interest_cost_total]","減価償却費（千円） [depreciation_cost]","動力費（千円） [power_cost]","水道光熱費（千円） [water_and_utilities_cost]","通信運搬費（千円） [communications_transport_cost]","修繕費（千円） [repair_cost]","材料費（千円） [materials_cost]","薬品費（千円） [chemical_cost]","路面復旧費（千円） [road_restoration_cost]","委託料（千円） [outsourcing_cost]","流域下水道管理運営費負担金（千円） [regional_sewerage_contribution]","その他（千円） [other_cost]","費用合計（千円） [total_cost]"
"112089:17-1-000:legal_applied:2020","112089","所沢市","17-1-000","legal_applied","2020","324987","320116","35851781","33614901","1639","3262668","3325341","1695718","1629623","5182841","577073","14670","0","192670","203234","360827","304590","3073477","809","8045","576","144971","32535","0","0","142375","1090779","395020","5554004"
"112097:17-1-000:legal_applied:2020","112097","飯能市","17-1-000","legal_applied","2020","55582","53048","7375190","6071862","2706","886872","833782","452751","381031","1493451","34949","55767","345299","37222","81721","85037","142439","925284","62153","1201","418","47786","1338","0","0","343603","0","94283","1703542"
"112101:17-1-000:legal_applied:2020","112101","加須市","17-1-000","legal_applied","2020","56085","48408","6040458","4832266","1952","506582","724841","406332","318509","1378737","11429","30351","277653","14944","47896","40931","168496","960174","40604","526","1063","38157","0","20492","445","234692","36290","8995","1550865"
"112119:17-1-000:legal_applied:2020","112119","本庄市","17-1-000","legal_applied","2020","46142","41178","4925309","4964313","2497","701164","744647","549951","194696","1439534","103584","0","0","19186","61251","43045","109134","883472","0","1464","825","26185","44","0","936","77224","371637","35544","1549510"
"112127:17-1-000:legal_applied:2020","112127","東松山市","17-1-000","legal_applied","2020","46177","45338","8493961","6490073","2035","870463","853004","626119","226885","1957326","58430","8743","548119","54158","113813","90663","93646","1173018","68015","447","1070","115058","0","17419","0","432982","0","73438","2065756"
"112143:17-1-000:legal_applied:2020","112143","春日部市","17-1-000","legal_applied","2020","209346","202870","22911899","19993537","2376","2503965","2896590","1203166","1693424","3553479","194390","34782","0","146798","12436","81781","496906","2297913","8119","348","194","23660","0","0","0","104330","833160","207072","4053483"
"112151:17-1-000:legal_applied:2020","112151","狭山市","17-1-000","legal_applied","2020","144869","143145","20091873","16298542","1727","1712350","1727480","670237","1057243","2712383","118360","0","0","19288","103449","82782","224003","1870596","0","3263","699","31809","2371","0","0","44600","584491","106585","2951199"
"112160:17-1-000:legal_applied:2020","112160","羽生市","17-1-000","legal_applied","2020","19811","17838","2700891","2151284","1925","213224","322693","201976","120717","833210","7578","4923","190835","0","20950","31623","81641","608900","20888","420","536","9039","0","0","0","147838","0","16607","917492"
"112178:17-1-000:legal_applied:2020","112178","鴻巣市","17-1-000","legal_applied","2020","92009","87171","11633294","9339762","2310","1059265","1335317","608570","726747","1927122","147592","53373","0","0","66975","47617","195808","1242994","5017","137","254","15251","3404","0","880","187981","416188","13880","2129411"
"112186:17-1-000:legal_applied:2020","112186","深谷市","17-1-000","legal_applied","2020","82673","75034","9630865","7795396","3520","1305001","1169308","596598","572710","1958319","41538","0","402782","19232","71891","54652","243407","1329911","56212","1239","1511","45978","0","0","0","316534","89596","68352","2207392"
"112194:17-1-000:legal_applied:2020","112194","上尾市","17-1-000","legal_applied","2020","192048","185694","20952281","18586871","2156","2208787","2533561","1158876","1374685","3237279","95724","206106","0","109425","72970","78482","239992","2013610","30803","1583","1486","36220","91","0","17729","294755","714820","53525","3483096"
