"行識別子","出典ID","団体コード","自治体・運営団体名","事業キー","会計区分","決算年度","表番号","行番号","シート名","Excel行番号"
"012068:17-1-000:legal_applied:2020","legal_applied:21","012068","釧路市","17-1-000","legal_applied","2020","21","2","2020460002100","7825"
"012068:17-1-000:legal_applied:2020","legal_applied:32","012068","釧路市","17-1-000","legal_applied","2020","32","1","2020460003200","7"
"012068:17-1-000:legal_applied:2020","legal_applied:32","012068","釧路市","17-1-000","legal_applied","2020","32","2","2020460003200","2099"
"012068:17-1-000:legal_applied:2020","legal_applied:33","012068","釧路市","17-1-000","legal_applied","2020","33","1","2020460003300","7"
"012068:17-1-000:legal_applied:2020","legal_applied:33","012068","釧路市","17-1-000","legal_applied","2020","33","2","2020460003300","2099"
"012076:17-1-000:legal_applied:2020","legal_applied:10","012076","帯広市","17-1-000","legal_applied","2020","10","1","2020460001000","8"
"012076:17-1-000:legal_applied:2020","legal_applied:10","012076","帯広市","17-1-000","legal_applied","2020","10","2","2020460001000","2100"
"012076:17-1-000:legal_applied:2020","legal_applied:20","012076","帯広市","17-1-000","legal_applied","2020","20","1","2020460002000","2871"
"012076:17-1-000:legal_applied:2020","legal_applied:20","012076","帯広市","17-1-000","legal_applied","2020","20","2","2020460002000","7826"
"012076:17-1-000:legal_applied:2020","legal_applied:21","012076","帯広市","17-1-000","legal_applied","2020","21","1","2020460002100","2871"
"012076:17-1-000:legal_applied:2020","legal_applied:21","012076","帯広市","17-1-000","legal_applied","2020","21","2","2020460002100","7826"
"012076:17-1-000:legal_applied:2020","legal_applied:32","012076","帯広市","17-1-000","legal_applied","2020","32","1","2020460003200","8"
"012076:17-1-000:legal_applied:2020","legal_applied:32","012076","帯広市","17-1-000","legal_applied","2020","32","2","2020460003200","2100"
"012076:17-1-000:legal_applied:2020","legal_applied:33","012076","帯広市","17-1-000","legal_applied","2020","33","1","2020460003300","8"
"012076:17-1-000:legal_applied:2020","legal_applied:33","012076","帯広市","17-1-000","legal_applied","2020","33","2","2020460003300","2100"
"012084:17-1-000:legal_applied:2020","legal_applied:10","012084","北見市","17-1-000","legal_applied","2020","10","1","2020460001000","9"
"012084:17-1-000:legal_applied:2020","legal_applied:10","012084","北見市","17-1-000","legal_applied","2020","10","2","2020460001000","2101"
"012084:17-1-000:legal_applied:2020","legal_applied:20","012084","北見市","17-1-000","legal_applied","2020","20","1","2020460002000","2872"
"012084:17-1-000:legal_applied:2020","legal_applied:20","012084","北見市","17-1-000","legal_applied","2020","20","2","2020460002000","7827"
"012084:17-1-000:legal_applied:2020","legal_applied:21","012084","北見市","17-1-000","legal_applied","2020","21","1","2020460002100","2872"
"012084:17-1-000:legal_applied:2020","legal_applied:21","012084","北見市","17-1-000","legal_applied","2020","21","2","2020460002100","7827"
"012084:17-1-000:legal_applied:2020","legal_applied:32","012084","北見市","17-1-000","legal_applied","2020","32","1","2020460003200","9"
"012084:17-1-000:legal_applied:2020","legal_applied:32","012084","北見市","17-1-000","legal_applied","2020","32","2","2020460003200","2101"
"012084:17-1-000:legal_applied:2020","legal_applied:33","012084","北見市","17-1-000","legal_applied","2020","33","1","2020460003300","9"
"012084:17-1-000:legal_applied:2020","legal_applied:33","012084","北見市","17-1-000","legal_applied","2020","33","2","2020460003300","2101"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:10","012092","夕張市","17-1-000","non_legal_applied","2020","10","1","2020470001000","3"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:10","012092","夕張市","17-1-000","non_legal_applied","2020","10","2","2020470001000","1517"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:26","012092","夕張市","17-1-000","non_legal_applied","2020","26","1","2020470002600","2290"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:26","012092","夕張市","17-1-000","non_legal_applied","2020","26","2","2020470002600","6091"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:32","012092","夕張市","17-1-000","non_legal_applied","2020","32","1","2020470003200","3"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:32","012092","夕張市","17-1-000","non_legal_applied","2020","32","2","2020470003200","1517"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:33","012092","夕張市","17-1-000","non_legal_applied","2020","33","1","2020470003300","3"
"012092:17-1-000:non_legal_applied:2020","non_legal_applied:33","012092","夕張市","17-1-000","non_legal_applied","2020","33","2","2020470003300","1517"
"012106:17-1-000:legal_applied:2020","legal_applied:10","012106","岩見沢市","17-1-000","legal_applied","2020","10","1","2020460001000","10"
"012106:17-1-000:legal_applied:2020","legal_applied:10","012106","岩見沢市","17-1-000","legal_applied","2020","10","2","2020460001000","2102"
"012106:17-1-000:legal_applied:2020","legal_applied:20","012106","岩見沢市","17-1-000","legal_applied","2020","20","1","2020460002000","2873"
"012106:17-1-000:legal_applied:2020","legal_applied:20","012106","岩見沢市","17-1-000","legal_applied","2020","20","2","2020460002000","7828"
"012106:17-1-000:legal_applied:2020","legal_applied:21","012106","岩見沢市","17-1-000","legal_applied","2020","21","1","2020460002100","2873"
"012106:17-1-000:legal_applied:2020","legal_applied:21","012106","岩見沢市","17-1-000","legal_applied","2020","21","2","2020460002100","7828"
"012106:17-1-000:legal_applied:2020","legal_applied:32","012106","岩見沢市","17-1-000","legal_applied","2020","32","1","2020460003200","10"
"012106:17-1-000:legal_applied:2020","legal_applied:32","012106","岩見沢市","17-1-000","legal_applied","2020","32","2","2020460003200","2102"
"012106:17-1-000:legal_applied:2020","legal_applied:33","012106","岩見沢市","17-1-000","legal_applied","2020","33","1","2020460003300","10"
"012106:17-1-000:legal_applied:2020","legal_applied:33","012106","岩見沢市","17-1-000","legal_applied","2020","33","2","2020460003300","2102"
"012114:17-1-000:legal_applied:2020","legal_applied:10","012114","網走市","17-1-000","legal_applied","2020","10","1","2020460001000","11"
"012114:17-1-000:legal_applied:2020","legal_applied:10","012114","網走市","17-1-000","legal_applied","2020","10","2","2020460001000","2103"
"012114:17-1-000:legal_applied:2020","legal_applied:20","012114","網走市","17-1-000","legal_applied","2020","20","1","2020460002000","2874"
